ts,run_id,schema_version,chain,token_address,token_symbol,source,verified,honeypot,buy_tax,sell_tax,can_mint,can_blacklist,can_pause,is_proxy,owner_renounced,lp_locked_or_burned,hard_reject,reject_reason,token_name,goplus_queried,honeypot_queried,decision,reject_reasons
2026-06-21T11:03:20.957Z,3604ff31-bd9b-4dcf-840f-1c372cb12f59,1.0.0,ethereum,0x59168ed8518b0fe45a34101cb32d584de6fbdab0,SLOHM,goplus,false,false,0.00,0.00,,,,,,,false,,SLOHM Finance,true,true,CONTRACT_SAFE,
2026-06-21T11:05:20.989Z,a6a78df8-53bc-40b6-ba53-d0f38b558cdb,1.0.0,ethereum,0x6d32ce6de3b4227cfc198a5ec01de98c3a9e3ce0,discover,goplus,true,false,,,false,false,false,false,,,false,,discover.me,true,true,CONTRACT_SAFE,
2026-06-21T11:05:22.739Z,a6a78df8-53bc-40b6-ba53-d0f38b558cdb,1.0.0,base,0x5ab5f1d983a279f59cf20c4cf7fbbef211d15037,MRBASE,goplus,true,false,,,false,false,false,false,,,false,,MR. Base,true,true,CONTRACT_SAFE,
2026-06-21T11:07:21.099Z,ff0c824a-db7c-484b-b529-f143ff34b96e,1.0.0,ethereum,0xcf6f93bf836aaa039b735c7bbe733e132a470ebd,MOVE,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Movement,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:09:21.072Z,6a4914be-7f1b-4f93-a7a5-f91902eb9d87,1.0.0,ethereum,0x59249afa1dffc0d483c6b5bcd70259e5765bee10,OPHA,goplus,false,false,0.00,0.00,,,,,,false,false,,Ophaxon,true,true,CONTRACT_SAFE,
2026-06-21T11:11:20.992Z,bbed1e0f-2581-45ef-9ff9-d39f8d06a2a3,1.0.0,ethereum,0x87f689c4d14d1b29790160903dbb2f0781bf783c,FLOW,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Flow,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:13:20.843Z,27f20572-14d4-4563-ac04-f15289f5066c,1.0.0,ethereum,0x3ce436dd6c26745a95b95a242359debb2b91296d,ONT,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Ontology,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:13:22.797Z,27f20572-14d4-4563-ac04-f15289f5066c,1.0.0,ethereum,0x271b716dd3f9291654fe0ec5ae66e381abfb86ed,$TNDR,goplus,true,false,0.00,0.00,false,false,false,false,,,false,,Tindrel,true,true,CONTRACT_SAFE,
2026-06-21T11:19:21.527Z,499800cb-2fc3-48b1-96d1-5435d6f9aa73,1.0.0,base,0xe712294ba1955698cc563d7b5f223bd4067edb07,leverageIT,goplus,true,false,,,false,false,false,false,false,,false,,magicalinternet.money,true,false,CONTRACT_SAFE,
2026-06-21T11:21:21.450Z,9c07c2fb-fe61-4e93-9afc-d2247f7b3897,1.0.0,base,0xee95c0656e4aed66f9a138ffc92b567b54eaa76f,PEAK,goplus,true,false,,,false,false,false,false,false,,false,,PEAK,true,false,CONTRACT_SAFE,
2026-06-21T11:21:23.193Z,9c07c2fb-fe61-4e93-9afc-d2247f7b3897,1.0.0,base,0xec73ddbca8786de80f4b9a5790b7e2497b987777,leverageIT,goplus,true,false,,,false,false,false,false,false,,false,,magicalinternet.money,true,false,CONTRACT_SAFE,
2026-06-21T11:25:21.480Z,b5af66b3-1d5a-4401-9b3a-81eaacf426d6,1.0.0,base,0x4ccb6166deea1d12b9343107c14ce479e5d1222a,XALGORIX,goplus,true,false,,,false,false,false,false,,,false,,Xalgorix,true,true,CONTRACT_SAFE,
2026-06-21T11:29:20.953Z,f3859c19-4f13-4739-8a00-a5d4a0e7cb97,1.0.0,ethereum,0xe1991adca75a83ed6b75babcf3a17cc13ba2273a,ROBO,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Fabric Protocol,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:31:24.930Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,ethereum,0x904e26090a0dd76db9d4218b6d6dafb4675fd80f,HOLO,goplus,false,false,0.00,0.00,,,,,,,false,,Holoworld AI,true,true,CONTRACT_SAFE,
2026-06-21T11:31:29.464Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,ethereum,0xe1991adca75a83ed6b75babcf3a17cc13ba2273a,ROBO,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Fabric Protocol,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:31:33.769Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,ethereum,0x3ce436dd6c26745a95b95a242359debb2b91296d,ONT,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Ontology,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:31:38.110Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,ethereum,0x87f689c4d14d1b29790160903dbb2f0781bf783c,FLOW,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Flow,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:31:42.439Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,ethereum,0xcf6f93bf836aaa039b735c7bbe733e132a470ebd,MOVE,goplus,true,false,0.00,0.00,true,false,false,false,false,false,true,owner_can_mint,Movement,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:31:46.781Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,ethereum,0x6d32ce6de3b4227cfc198a5ec01de98c3a9e3ce0,discover,goplus,true,false,0.00,0.00,false,false,false,false,,false,false,,discover.me,true,true,CONTRACT_SAFE,
2026-06-21T11:31:55.295Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,base,0x4ccb6166deea1d12b9343107c14ce479e5d1222a,XALGORIX,goplus,true,false,,,false,false,false,false,,,false,,Xalgorix,true,true,CONTRACT_SAFE,
2026-06-21T11:31:59.621Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,base,0xee95c0656e4aed66f9a138ffc92b567b54eaa76f,PEAK,goplus,true,false,,,false,false,false,false,false,,false,,PEAK,true,false,CONTRACT_SAFE,
2026-06-21T11:32:03.938Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,base,0xec73ddbca8786de80f4b9a5790b7e2497b987777,leverageIT,goplus,true,false,,,false,false,false,false,false,,false,,magicalinternet.money,true,false,CONTRACT_SAFE,
2026-06-21T11:32:08.241Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,base,0xe712294ba1955698cc563d7b5f223bd4067edb07,leverageIT,goplus,true,false,,,false,false,false,false,false,,false,,magicalinternet.money,true,false,CONTRACT_SAFE,
2026-06-21T11:32:16.918Z,3795b863-7ab7-4731-9045-1207f9d8a87f,1.0.0,base,0x2253d3c07c90b238a1824807ce676b0605288475,OPL,goplus,true,false,0.00,0.00,false,false,false,false,,false,false,,OpenLayer,true,false,CONTRACT_SAFE,
2026-06-21T11:33:24.993Z,3dc9b166-916b-4b96-a262-afbb2d77b4f7,1.0.0,ethereum,0x904e26090a0dd76db9d4218b6d6dafb4675fd80f,HOLO,goplus,false,false,0.00,0.00,,,,,,,false,,Holoworld AI,true,true,CONTRACT_SAFE,
2026-06-21T11:33:29.310Z,3dc9b166-916b-4b96-a262-afbb2d77b4f7,1.0.0,ethereum,0xe1991adca75a83ed6b75babcf3a17cc13ba2273a,ROBO,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Fabric Protocol,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:33:33.623Z,3dc9b166-916b-4b96-a262-afbb2d77b4f7,1.0.0,ethereum,0x3ce436dd6c26745a95b95a242359debb2b91296d,ONT,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Ontology,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:33:37.957Z,3dc9b166-916b-4b96-a262-afbb2d77b4f7,1.0.0,ethereum,0x87f689c4d14d1b29790160903dbb2f0781bf783c,FLOW,goplus,true,false,0.00,0.00,true,false,false,false,false,,true,owner_can_mint,Flow,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:33:42.296Z,3dc9b166-916b-4b96-a262-afbb2d77b4f7,1.0.0,ethereum,0xcf6f93bf836aaa039b735c7bbe733e132a470ebd,MOVE,goplus,true,false,0.00,0.00,true,false,false,false,false,false,true,owner_can_mint,Movement,true,true,CONTRACT_REJECT,owner_can_mint
2026-06-21T11:33:46.608Z,3dc9b166-916b-4b96-a262-afbb2d77b4f7,1.0.0,ethereum,0x6d32ce6de3b4227cfc198a5ec01de98c3a9e3ce0,discover,goplus,true,false,0.00,0.00,false,false,false,false,,false,false,,discover.me,true,true,CONTRACT_SAFE,
2026-06-21T11:33:55.166Z,3dc9b166-916b-4b96-a262-afbb2d77b4f7,1.0.0,base,0x4ccb6166deea1d12b9343107c14ce479e5d1222a,XALGORIX,goplus,true,false,,,false,false,false,false,,,false,,Xalgorix,true,true,CONTRACT_SAFE,
